ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité;Caractéristique
2000;0;Bulgari 0BV5031TG 408087;82,68;1069;1;666.67;0BV5031TG 408087;3;30;8053670000000;10;Longueur des branches:140mm,Largeur d'un verre:58mm,Largeur du pont:17mm,Largeur totale:273mm,Hauteur d'un verre:43.6mm,Matière:Métal,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
2001;0;Bulgari 0BV8141K 523513;82,69;379;1;236;0BV8141K 523513;3;30;8053672289374;10;Longueur des branches:135mm,Largeur d'un verre:54.1mm,Largeur du pont:19mm,Largeur totale:262.2mm,Hauteur d'un verre:45.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
2002;0;Bulgari 0BV8141K 53198G;82,69;379;1;236;0BV8141K 53198G;3;30;8053672289381;10;Longueur des branches:135mm,Largeur d'un verre:54.1mm,Largeur du pont:19mm,Largeur totale:262.2mm,Hauteur d'un verre:45.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
2003;0;Bulgari 0BV6077B 278/13;82,69;179;1;110.33;0BV6077B 278/13;3;30;8053672415025;10;Longueur des branches:135mm,Largeur d'un verre:59mm,Largeur du pont:17mm,Largeur totale:270mm,Hauteur d'un verre:51.8mm,Matière:Métal,Forme:Carré,Genre:Femme,Couleur:marron_582900
2004;0;Bulgari 0BV8169Q 901/8G;82,69;199;1;127;0BV8169Q 901/8G;3;30;8053672471878;10;Longueur des branches:135mm,Largeur d'un verre:57.1mm,Largeur du pont:15mm,Largeur totale:264.2mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:Gris_606060
2005;0;Bulgari 0BV8170 504/13;82,69;169;1;106.17;0BV8170 504/13;3;30;8053672547054;10;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:47.4mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
2006;0;Bulgari 0BV8179KB 5190T3;82,69;439;1;275;0BV8179KB 5190T3;3;30;8053672615678;10;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:47.4mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
2007;0;Bulgari 0BV8185B 504/13;82,69;219;1;135.33;0BV8185B 504/13;3;30;8053672640724;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:50.1mm,Matière:Plastique,Forme:Pantos,Genre:Femme,Couleur:marron_582900
2008;0;Bulgari 0BV6086B 278/T5;82,69;209;1;131.17;0BV6086B 278/T5;3;30;8053672640281;10;Longueur des branches:135mm,Largeur d'un verre:60mm,Largeur du pont:16mm,Largeur totale:271mm,Hauteur d'un verre:51.3mm,Matière:Métal,Forme:Pilote,Genre:Femme,Couleur:marron_582900
2009;0;Bulgari 0BV8187KB 5193T5;82,69;539;1;340;0BV8187KB 5193T5;3;30;8053672670233;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:50.3mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
2010;0;Bulgari 0BV8187KB 5425T3;82,69;539;1;340;0BV8187KB 5425T3;3;30;8053672670240;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:50.3mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
2011;0;Bulgari 0BV8188B 54308G;82,69;219;1;135.33;0BV8188B 54308G;3;30;8053672703153;10;Longueur des branches:145mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:275mm,Hauteur d'un verre:50.6mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
2012;0;Bulgari 0BV6089 202255;82,69;189;1;118.67;0BV6089 202255;3;30;8053672703412;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:51mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:dorée_F6DC12
2013;0;Bulgari 0BV6089 128/T9;82,69;189;1;118.67;0BV6089 128/T9;3;30;8053672857306;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:51mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
2014;0;Bulgari 0BV8191 11171A;82,69;219;1;135.33;0BV8191 11171A;3;30;8053672768190;10;Longueur des branches:140mm,Largeur d'un verre:52.2mm,Largeur du pont:21mm,Largeur totale:265.4mm,Hauteur d'un verre:47.3mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:Violet_660099
2015;0;Bulgari 0BV6091B 278/13;82,69;169;1;106.17;0BV6091B 278/13;3;30;8053672768404;10;Longueur des branches:140mm,Largeur d'un verre:61mm,Largeur du pont:17mm,Largeur totale:279mm,Hauteur d'un verre:56.3mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:marron_582900
2016;0;Bulgari 0BV5041 400/6G;82,68;189;1;118.67;0BV5041 400/6G;3;30;8053672768343;10;Longueur des branches:145mm,Largeur d'un verre:56mm,Largeur du pont:19mm,Largeur totale:276mm,Hauteur d'un verre:46.1mm,Matière:Métal,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
2017;0;Bulgari 0BV6094B 20148G;82,69;239;1;147.83;0BV6094B 20148G;3;30;8053672768923;10;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:49.9mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:gris_606060
2018;0;Bulgari 0BV8196B 54313B;82,69;239;1;147.83;0BV8196B 54313B;3;30;8053672812275;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:22mm,Largeur totale:268mm,Hauteur d'un verre:51.8mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:rose_FD6C9E
2019;0;Bulgari 0BV8197 543690;82,69;189;1;118.67;0BV8197 543690;3;30;8053672812862;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:49.3mm,Matière:Plastique,Forme:Pantos,Genre:Femme,Couleur:rose_FD6C9E
2020;0;Bulgari 0BV5043TK 203983;82,68;659;1;415;0BV5043TK 203983;3;30;8053672816686;10;Longueur des branches:145mm,Largeur d'un verre:57mm,Largeur du pont:14mm,Largeur totale:273mm,Hauteur d'un verre:50.9mm,Matière:Titane,Forme:Pilote,Genre:Homme,Couleur:marron_582900
2021;0;Bulgari 0BV6097KB 2041T5;82,69;539;1;340;0BV6097KB 2041T5;3;30;8053672816792;10;Longueur des branches:125mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:256mm,Hauteur d'un verre:47.2mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:marron_582900
2022;0;Bulgari 0BV6097KB 204281;82,69;539;1;340;0BV6097KB 204281;3;30;8053672816808;10;Longueur des branches:125mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:256mm,Hauteur d'un verre:47.2mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:gris_606060
2023;0;Bulgari 0BV8195KB 5431T5;82,69;539;1;340;0BV8195KB 5431T5;3;30;8053672816839;10;Longueur des branches:130mm,Largeur d'un verre:56mm,Largeur du pont:19mm,Largeur totale:261mm,Hauteur d'un verre:49.6mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
2024;0;Bulgari 0BV8203 54448G;82,69;219;1;135.33;0BV8203 54448G;3;30;8053672857627;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:19mm,Largeur totale:265mm,Hauteur d'un verre:44.1mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:gris_606060
2025;0;Bulgari 0BV8203 544584;82,69;219;1;135.33;0BV8203 544584;3;30;8053672857658;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:19mm,Largeur totale:265mm,Hauteur d'un verre:44.1mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:rose_FD6C9E
2026;0;Bulgari 0BV8206 504/13;82,69;219;1;135.33;0BV8206 504/13;3;30;8053672904208;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:46.8mm,Matière:Plastique,Forme:Ovale,Genre:Femme,Couleur:marron_582900
2027;0;Bulgari 0BV5045 195/87;82,68;169;1;106.17;0BV5045 195/87;3;30;8053672904628;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:48.9mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:gris_606060
2028;0;Bulgari 0BV6107 20486F;82,69;219;1;135.33;0BV6107 20486F;3;30;8053672904819;10;Longueur des branches:140mm,Largeur d'un verre:63mm,Largeur du pont:12mm,Largeur totale:276mm,Hauteur d'un verre:52.2mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:rose_FD6C9E
2029;0;Bulgari 0BV6108 278/8G;82,69;219;1;135.33;0BV6108 278/8G;3;30;8053672902860;10;Longueur des branches:140mm,Largeur d'un verre:58mm,Largeur du pont:16mm,Largeur totale:272mm,Hauteur d'un verre:52.6mm,Matière:Métal,Forme:Ovale,Genre:Femme,Couleur:gris_606060
2030;0;Bulgari 0BV8208 545413;82,69;219;1;135.33;0BV8208 545413;3;30;8053672904338;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:44.3mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
2031;0;Bulgari 0BV5026K 390/81;82,68;519;1;325;0BV5026K 390/81;3;30;679420888446;10;Longueur des branches:142mm,Largeur d'un verre:60mm,Largeur du pont:17mm,Largeur totale:279mm,Hauteur d'un verre:48mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:Gris_606060
2032;0;Bulgari 0BV8134K 5324T3;82,69;419;1;265;0BV8134K 5324T3;3;30;8053672321555;10;Longueur des branches:135mm,Largeur d'un verre:56mm,Largeur du pont:18mm,Largeur totale:265mm,Hauteur d'un verre:46.8mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
2033;0;Bulgari 0BV8150B 504/13;82,69;169;1;108.33;0BV8150B 504/13;3;30;8053672313918;10;Longueur des branches:140mm,,Largeur du pont:16mm,Largeur totale:156mm,Hauteur d'un verre:mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
2034;0;Bulgari 0BV8175B 501/8G;82,69;189;1;118.67;0BV8175B 501/8G;3;30;8053672594225;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:49.7mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:Gris_606060
2035;0;Bulgari 0BV8177 501/8G;82,69;169;1;106.17;0BV8177 501/8G;3;30;8053672594508;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:20mm,Largeur totale:266mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:Gris_606060
2036;0;Bulgari 0BV5038 201387;82,68;169;1;106.17;0BV5038 201387;3;30;8053672596076;10;Longueur des branches:130mm,Largeur d'un verre:63mm,Largeur du pont:16mm,Largeur totale:272mm,Hauteur d'un verre:49.2mm,Matière:Métal,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
2037;0;Bulgari 0BV7027 501/87;82,68;169;1;106.17;0BV7027 501/87;3;30;8053672595154;10;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:45.5mm,Matière:Plastique,Forme:Rectangle,Genre:Homme,Couleur:Gris_606060
2038;0;Bulgari 0BV8179KB 5193T5;82,69;439;1;275;0BV8179KB 5193T5;3;30;8053672615654;10;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:47.4mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
2039;0;Bulgari 0BV8181B 54205A;82,69;259;1;160.33;0BV8181B 54205A;3;30;8053672640663;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:50.3mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
2040;0;Bulgari 0BV8180B 504/T5;82,69;259;1;160.33;0BV8180B 504/T5;3;30;8053672640212;10;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:50.1mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
