Id;Caracteristique
1650;Longueur des branches:140mm,Largeur d'un verre:58mm,Largeur du pont:17mm,Largeur totale:273mm,Hauteur d'un verre:43.6mm,Matière:Métal,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
1594;Longueur des branches:135mm,Largeur d'un verre:54.1mm,Largeur du pont:19mm,Largeur totale:262.2mm,Hauteur d'un verre:45.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1602;Longueur des branches:135mm,Largeur d'un verre:54.1mm,Largeur du pont:19mm,Largeur totale:262.2mm,Hauteur d'un verre:45.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1546;Longueur des branches:135mm,Largeur d'un verre:59mm,Largeur du pont:17mm,Largeur totale:270mm,Hauteur d'un verre:51.8mm,Matière:Métal,Forme:Carré,Genre:Femme,Couleur:marron_582900
1610;Longueur des branches:135mm,Largeur d'un verre:57.1mm,Largeur du pont:15mm,Largeur totale:264.2mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:Gris_606060
1554;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:47.4mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1618;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:47.4mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
1562;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:50.1mm,Matière:Plastique,Forme:Pantos,Genre:Femme,Couleur:marron_582900
1626;Longueur des branches:135mm,Largeur d'un verre:60mm,Largeur du pont:16mm,Largeur totale:271mm,Hauteur d'un verre:51.3mm,Matière:Métal,Forme:Pilote,Genre:Femme,Couleur:marron_582900
1570;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:50.3mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1634;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:50.3mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
1578;Longueur des branches:145mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:275mm,Hauteur d'un verre:50.6mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
1642;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:51mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:dorée_F6DC12
1586;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:51mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1534;Longueur des branches:140mm,Largeur d'un verre:52.2mm,Largeur du pont:21mm,Largeur totale:265.4mm,Hauteur d'un verre:47.3mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:Violet_660099
1714;Longueur des branches:140mm,Largeur d'un verre:61mm,Largeur du pont:17mm,Largeur totale:279mm,Hauteur d'un verre:56.3mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:marron_582900
1478;Longueur des branches:145mm,Largeur d'un verre:56mm,Largeur du pont:19mm,Largeur totale:276mm,Hauteur d'un verre:46.1mm,Matière:Métal,Forme:Rectangle,Genre:Homme,Couleur:gris_606060
1658;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:49.9mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1722;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:22mm,Largeur totale:268mm,Hauteur d'un verre:51.8mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:rose_FD6C9E
1486;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:49.3mm,Matière:Plastique,Forme:Pantos,Genre:Femme,Couleur:rose_FD6C9E
1666;Longueur des branches:145mm,Largeur d'un verre:57mm,Largeur du pont:14mm,Largeur totale:273mm,Hauteur d'un verre:50.9mm,Matière:Titane,Forme:Pilote,Genre:Homme,Couleur:marron_582900
1430;Longueur des branches:125mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:256mm,Hauteur d'un verre:47.2mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1730;Longueur des branches:125mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:256mm,Hauteur d'un verre:47.2mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1494;Longueur des branches:130mm,Largeur d'un verre:56mm,Largeur du pont:19mm,Largeur totale:261mm,Hauteur d'un verre:49.6mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1674;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:19mm,Largeur totale:265mm,Hauteur d'un verre:44.1mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1438;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:19mm,Largeur totale:265mm,Hauteur d'un verre:44.1mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:rose_FD6C9E
1738;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:46.8mm,Matière:Plastique,Forme:Ovale,Genre:Femme,Couleur:marron_582900
1502;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:48.9mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:gris_606060
