ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité;Caractéristique
3003;0;Lunettes de vue Ray Ban  0RX5228 5546 50;32,33;86,99;1;54,21;0RX5228 5546 50;3;2;8053672430004;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:17mm,Largeur totale:117mm,Hauteur d'un verre:34.5mm,Matière:Plastique,Forme:Carré,Genre:Femme
3004;0;Lunettes de vue Ray Ban  0RX5228 5628 50;32,33;86,99;1;54,21;0RX5228 5628 50;3;2;8053672604740;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:17mm,Largeur totale:117mm,Hauteur d'un verre:34.5mm,Matière:Plastique,Forme:Carré,Genre:Femme
3005;0;Lunettes de vue Ray Ban  0RX5228 5628 53;32,33;86,99;1;54,21;0RX5228 5628 53;3;2;8053672604757;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:36.6mm,Matière:Plastique,Forme:Carré,Genre:Femme
3006;0;Lunettes de vue Ray Ban  0RX5228 5798 55;32,33;86,99;1;54,21;0RX5228 5798 55;3;2;8053672927474;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:127mm,Hauteur d'un verre:38.0mm,Matière:Plastique,Forme:Carré,Genre:Femme
3007;0;Lunettes de vue Ray Ban  0RX5150 2034 48;32,33;81,99;1;50,64;0RX5150 2034 48;3;2;0805289464235;10;Longueur des branches:135mm,Largeur d'un verre:48mm,Largeur du pont:19mm,Largeur totale:115mm,Hauteur d'un verre:29.3mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3008;0;Lunettes de vue Ray Ban  0RX5150 5240 48;32,33;81,99;1;50,64;0RX5150 5240 48;3;2;8053672124118;10;Longueur des branches:135mm,Largeur d'un verre:48mm,Largeur du pont:19mm,Largeur totale:115mm,Hauteur d'un verre:29.3mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3009;0;Lunettes de vue Ray Ban  0RX5150 5240 50;32,33;81,99;1;50,64;0RX5150 5240 50;3;2;8053672124095;10;Longueur des branches:135mm,Largeur d'un verre:50mm,Largeur du pont:19mm,Largeur totale:119mm,Hauteur d'un verre:30.5mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3010;0;Lunettes de vue Ray Ban  0RX5150 5713 50;32,33;81,99;1;50,64;0RX5150 5713 50;3;2;8053672783759;10;Longueur des branches:135mm,Largeur d'un verre:50mm,Largeur du pont:19mm,Largeur totale:119mm,Hauteur d'un verre:30.5mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3011;0;Lunettes de vue Ray Ban  0RX5150 5776 52;32,33;81,99;1;50,64;0RX5150 5776 52;3;2;8053672876215;10;Longueur des branches:135mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur totale:123mm,Hauteur d'un verre:31.6mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3012;0;Lunettes de vue Ray Ban  CLUBMASTER 0RX5154 2012 49;32,33;86,99;1;54,21;0RX5154 2012 49;3;2;0805289345015;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:21mm,Largeur totale:121mm,Hauteur d'un verre:38.3mm,Matière:Plastique,Forme:Carré,Genre:Mixte
