ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité;Caractéristique;;;;;
5000;0;Lunettes de vue Versace 0VE3249 148 54;32,97,100;109,99;1;62,71;0VE3249 148 54;3;18;8053672798869;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:36.3mm;;;;;
5001;0;Lunettes de vue Versace 0VE3251B 5215 52;32,97,100;129,99;1;77;0VE3251B 5215 52;3;18;8053672799279;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:18mm,Largeur du pont:122mm,Hauteur d'un verre:45.4mm;;;;;
5002;0;Lunettes de vue Versace 0VE3251B GB1 54;32,97,100;129,99;1;77;0VE3251B GB1 54;3;18;8053672799248;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:18mm,Largeur du pont:126mm,Hauteur d'un verre:47.1mm;;;;;
5003;0;Lunettes de vue Versace 0VE3252 5230 52;32,97,99;119,99;1;69,86;0VE3252 5230 52;3;18;8053672799408;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur du pont:123mm,Hauteur d'un verre:41.3mm;;;;;
5004;0;Lunettes de vue Versace 0VE3252 5230 54;32,97,99;119,99;1;69,86;0VE3252 5230 54;3;18;8053672799415;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:19mm,Largeur du pont:127mm,Hauteur d'un verre:42.9mm;;;;;
5005;0;Lunettes de vue Versace 0VE3253 108 55;32,97,99;109,99;1;62,71;0VE3253 108 55;3;18;8053672799675;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur du pont:127mm,Hauteur d'un verre:39.3mm;;;;;
5006;0;Lunettes de vue Versace 0VE3253 5230 53;32,97,99;109,99;1;62,71;0VE3253 5230 53;3;18;8053672799644;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur du pont:123mm,Hauteur d'un verre:37.9mm;;;;;
5007;0;Lunettes de vue Versace 0VE3254 5148 54;32,97,100;129,99;1;77;0VE3254 5148 54;3;18;8053672799873;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:43.3mm;;;;;
5008;0;Lunettes de vue Versace 0VE3254 GB1 54;32,97,100;129,99;1;77;0VE3254 GB1 54;3;18;8053672799859;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:43.3mm;;;;;
5009;0;Lunettes de vue Versace 0VE3257 5117 53;32,97,99,100;109,99;1;66,29;0VE3257 5117 53;3;18;8053672852370;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:18mm,Largeur du pont:124mm,Hauteur d'un verre:45.1mm;;;;;
5010;0;Lunettes de vue Versace 0VE3257 5125 51;32,97,99,100;109,99;1;66,29;0VE3257 5125 51;3;18;8053672852400;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:18mm,Largeur du pont:120mm,Hauteur d'un verre:43.4mm;;;;;
5011;0;Lunettes de vue Versace 0VE3256 148 52;32,97,100;109,99;1;66,29;0VE3256 148 52;3;18;8053672852271;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:42.6mm;;;;;
5012;0;Lunettes de vue Versace 0VE1254B 1252 54;32,97,100;129,99;1;77;0VE1254B 1252 54;3;18;8053672889635;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:15mm,Largeur du pont:123mm,Hauteur d'un verre:39.2mm;;;;;
5013;0;Lunettes de vue Versace 0VE1254B 1252 56;32,97,100;129,99;1;77;0VE1254B 1252 56;3;18;8053672889642;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:15mm,Largeur du pont:127mm,Hauteur d'un verre:40.7mm;;;;;
5014;0;Lunettes de vue Versace 0VE1254B 1428 56;32,97,100;129,99;1;77;0VE1254B 1428 56;3;18;8053672889680;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:15mm,Largeur du pont:127mm,Hauteur d'un verre:40.7mm;;;;;
5015;0;Lunettes de vue Versace 0VE3261 108 52;32,97,100;109,99;1;62,71;0VE3261 108 52;3;18;8053672889338;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:39.5mm;;;;;
5016;0;Lunettes de vue Versace 0VE3259 GB1 52;32,97,100;109,99;1;62,71;0VE3259 GB1 52;3;18;8053672889062;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:20mm,Largeur du pont:124mm,Hauteur d'un verre:41.2mm;;;;;
5017;0;Lunettes de vue Versace 0VE3260 GB1 51;32,97,100;109,99;1;62,71;0VE3260 GB1 51;3;18;8053672889222;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:17mm,Largeur du pont:119mm,Hauteur d'un verre:39.0mm;;;;;
5018;0;Lunettes de vue Versace 0VE3260 5267 51;32,97,100;109,99;1;62,71;0VE3260 5267 51;3;18;8053672889246;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:17mm,Largeur du pont:119mm,Hauteur d'un verre:39.0mm;;;;;
5019;0;Lunettes de vue Versace 0VE1258 1440 52;32,97,100;119,99;1;69,86;0VE1258 1440 52;3;18;8053672954814;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur du pont:123mm,Hauteur d'un verre:38.1mm;;;;;
5020;0;Lunettes de vue Versace 0VE1256 1252 53;32,97,100;109,99;1;66,29;0VE1256 1252 53;3;18;8053672953299;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur du pont:123mm,Hauteur d'un verre:41.5mm;;;;;
5021;0;Lunettes de vue Versace 0VE3267 108 53;32,97,100;119,99;1;69,86;0VE3267 108 53;3;18;8053672952728;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur du pont:123mm,Hauteur d'un verre:39.2mm;;;;;
5022;0;Lunettes de vue Versace 0VE3267 GB1 51;32,97,100;119,99;1;69,86;0VE3267 GB1 51;3;18;8053672952711;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:17mm,Largeur du pont:119mm,Hauteur d'un verre:37.8mm;;;;;
5023;0;Lunettes de vue Versace 0VE3267 5293 53;32,97,100;119,99;1;69,86;0VE3267 5293 53;3;18;8053672956771;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur du pont:123mm,Hauteur d'un verre:39.2mm;;;;;
5024;0;Lunettes de vue Versace 0VE3265 388 54;32,97,100;109,99;1;66,29;0VE3265 388 54;3;18;8053672952582;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:38.8mm;;;;;
5025;0;Lunettes de vue Versace 0VE3265 5289 54;32,97,100;109,99;1;66,29;0VE3265 5289 54;3;18;8053672952605;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:38.8mm;;;;;
5026;0;Lunettes de vue Versace 0VE3268 388 51;32,97,100;119,99;1;69,86;0VE3268 388 51;3;18;8053672954753;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:19mm,Largeur du pont:121mm,Hauteur d'un verre:44.8mm;;;;;
5027;0;Lunettes de vue Versace 0VE3268 5160 49;32,97,100;119,99;1;69,86;0VE3268 5160 49;3;18;8053672954739;10;Longueur des branches:140mm,Largeur d'un verre:49mm,Largeur du pont:19mm,Largeur du pont:117mm,Hauteur d'un verre:43.0mm;;;;;
5028;0;Lunettes de vue Versace 0VE3268 5160 51;32,97,100;119,99;1;69,86;0VE3268 5160 51;3;18;8053672954784;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:19mm,Largeur du pont:121mm,Hauteur d'un verre:44.8mm;;;;;
5029;0;Lunettes de vue Versace 0VE3266 5217 55;32,97,99;119,99;1;69,86;0VE3266 5217 55;3;18;8053672952636;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur du pont:127mm,Hauteur d'un verre:41.5mm;;;;;
5030;0;Lunettes de vue Versace 0VE3263B 108 54;32,97,100;129,99;1;77;0VE3263B 108 54;3;18;8053672952391;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur du pont:125mm,Hauteur d'un verre:40.6mm;;;;;
5031;0;Lunettes de vue Versace 0VE1246B 1052 52;32,97,100;109,99;1;62,71;0VE1246B 1052 52;3;18;8053672754421;10;Longueur des branches:135mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:40.2mm;;;;;
5032;0;Lunettes de vue Versace 0VE3245 5298 55;32,97,99;119,99;1;69,86;0VE3245 5298 55;3;18;8053672979480;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur du pont:127mm,Hauteur d'un verre:39.6mm;;;;;
5033;0;Lunettes de vue Versace 0VE3248 5253 52;32,97,100;129,99;1;77;0VE3248 5253 52;3;18;8053672754308;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:16mm,Largeur du pont:120mm,Hauteur d'un verre:39.1mm;;;;;
5034;0;Lunettes de vue Versace 0VE3248 5253 54;32,97,100;129,99;1;77;0VE3248 5253 54;3;18;8053672754315;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:41.0mm;;;;;
5035;0;Lunettes de vue Versace 0VE3248 GB1 54;32,97,100;129,99;1;77;0VE3248 GB1 54;3;18;8053672754278;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:41.0mm;;;;;
5036;0;Lunettes de vue Versace 0VE1250 1009 54;32,97,100;129,99;1;77;0VE1250 1009 54;3;18;8053672816754;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur du pont:125mm,Hauteur d'un verre:45.7mm;;;;;
5037;0;Lunettes de vue Versace 0VE1250 1252 54;32,97,100;129,99;1;77;0VE1250 1252 54;3;18;8053672816747;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur du pont:125mm,Hauteur d'un verre:45.7mm;;;;;
5038;0;Lunettes de vue Versace 0VE1248B 1052 54;32,97,100;129,99;1;77;0VE1248B 1052 54;3;18;8053672800432;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:42.3mm;;;;;
5039;0;Lunettes de vue Versace 0VE1248B 1252 54;32,97,100;129,99;1;77;0VE1248B 1252 54;3;18;8053672800395;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:42.3mm;;;;;
5040;0;Lunettes de vue Versace 0VE1248B 1410 52;32,97,100;129,99;1;77;0VE1248B 1410 52;3;18;8053672800401;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:16mm,Largeur du pont:120mm,Hauteur d'un verre:40.5mm;;;;;
5041;0;Lunettes de vue Versace 0VE1258 1442 52;32,97,100;119,99;1;69,86;0VE1258 1442 52;3;18;8053672954838;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur du pont:123mm,Hauteur d'un verre:38.1mm;;;;;
5042;0;Lunettes de vue Versace 0VE1255B 1433 52;32,97,100;129,99;1;77;0VE1255B 1433 52;3;18;8053672952988;10;Longueur des branches:140mm,Largeur d'un verre:52,2mm,Largeur du pont:18mm,Largeur du pont:122,4mm,Hauteur d'un verre:40.8mm;;;;;
5043;0;Lunettes de vue Versace 0VE3264B 5217 51;32,97,100;129,99;1;77;0VE3264B 5217 51;3;18;8053672952483;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:16mm,Largeur du pont:118mm,Hauteur d'un verre:39.8mm;;;;;
5044;0;Lunettes de vue Versace 0VE3264B 5217 53;32,97,100;129,99;1;77;0VE3264B 5217 53;3;18;8053672952476;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:16mm,Largeur du pont:122mm,Hauteur d'un verre:41.3mm;;;;;
5045;0;Lunettes de vue Versace 0VE3264B 5291 51;32,97,100;129,99;1;77;0VE3264B 5291 51;3;18;8053672952506;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:16mm,Largeur du pont:118mm,Hauteur d'un verre:39.8mm;;;;;
5046;0;Lunettes de vue Versace 0VE3267 5291 51;32,97,100;119,99;1;69,86;0VE3267 5291 51;3;18;8053672952803;10;Longueur des branches:140mm,Largeur d'un verre:51mm,Largeur du pont:17mm,Largeur du pont:119mm,Hauteur d'un verre:37.8mm;;;;;
5047;0;Lunettes de vue Versace 0VE3266 GB1 53;32,97,99;119,99;1;69,86;0VE3266 GB1 53;3;18;8053672952629;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur du pont:123mm,Hauteur d'un verre:40.0mm;;;;;
5048;0;Lunettes de vue Versace 0VE3263B GB1 52;32,97,100;129,99;1;77;0VE3263B GB1 52;3;18;8053672952384;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:39.1mm;;;;;
5049;0;Lunettes de vue Versace 0VE3156 GB1 53;32,97,100;99,99;1;59,14;0VE3156 GB1 53;3;18;725125741569;10;Longueur des branches:135mm,Largeur d'un verre:53mm,Largeur du pont:15mm,Largeur du pont:121mm,Hauteur d'un verre:35.7mm;;;;;
5050;0;Lunettes de vue Versace 0VE3186 GB1 54;32,97,100;109,99;1;62,71;0VE3186 GB1 54;3;18;8053672109238;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:35.0mm;;;;;
5051;0;Lunettes de vue Versace 0VE3214 5076 54;32,97,100;119,99;1;69,86;0VE3214 5076 54;3;18;8053672508253;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:38.6mm;;;;;
5052;0;Lunettes de vue Versace 0VE1233Q 1366 53;32,97,100;119,99;1;69,86;0VE1233Q 1366 53;3;18;8053672468779;10;Longueur des branches:140mm,Largeur d'un verre:52,9mm,Largeur du pont:17mm,Largeur du pont:122,8mm,Hauteur d'un verre:39.6mm;;;;;
5053;0;Lunettes de vue Versace 0VE3219Q 5076 52;32,97,100;119,99;1;69,86;0VE3219Q 5076 52;3;18;8053672821123;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:37.3mm;;;;;
5054;0;Lunettes de vue Versace 0VE3219Q 5076 54;32,97,100;119,99;1;69,86;0VE3219Q 5076 54;3;18;8053672821130;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur du pont:125mm,Hauteur d'un verre:38.8mm;;;;;
5055;0;Lunettes de vue Versace 0VE3220 GB1 54;32,97,100;109,99;1;62,71;0VE3220 GB1 54;3;18;8053672470079;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:37.0mm;;;;;
5056;0;Lunettes de vue Versace 0VE1236 1371 55;32,97,99;109,99;1;66,29;0VE1236 1371 55;3;18;8053672551174;10;Longueur des branches:140mm,Largeur d'un verre:54,8mm,Largeur du pont:16mm,Largeur du pont:125,6mm,Hauteur d'un verre:36.6mm;;;;;
5057;0;Lunettes de vue Versace 0VE3237 5211 52;32,97,100;109,99;1;66,29;0VE3237 5211 52;3;18;8053672644395;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur du pont:121mm,Hauteur d'un verre:43.5mm;;;;;
5058;0;Lunettes de vue Versace 0VE3236 5217 54;32,97,100;109,99;1;66,29;0VE3236 5217 54;3;18;8053672644241;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur du pont:124mm,Hauteur d'un verre:38.0mm;;;;;
5059;0;Lunettes de vue Versace 0VE1241 1269 54;32,97,99;119,99;1;69,86;0VE1241 1269 54;3;18;8053672821451;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:18mm,Largeur du pont:126mm,Hauteur d'un verre:35.0mm;;;;;
5060;0;Lunettes de vue Versace 0VE3235B 5076 52;32,97,100;139,99;1;84,14;0VE3235B 5076 52;3;18;8053672769524;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:16mm,Largeur du pont:120mm,Hauteur d'un verre:42.2mm;;;;;
